公司代號,公司簡稱,產業排位,2026實力指標,族群細分類 - 規格與應用導向,關鍵技術 / 產能指標 / 報價變量
1795,美時,台灣學名藥出口龍頭,抗癌藥品外銷全球，台灣最具規模的跨國製藥平台。,特殊學名藥 (難度高) / 癌症/減重 / 外銷,藥物傳遞系統 (DDS)、Lenalidomide 外銷規模、口服癌症藥
1802,台玻,全球玻纖紗/布前三大,低介電布 (Low Dk)。2026 年成功量產 低介電紗，供應高階交換器，具備垂直整合龍頭地位。,平板玻璃 / 玻纖布 (E/T/H) / 低輻射,浮法玻璃製程、低輻射 (Low-E) 鍍膜、電子級玻纖布規格
1805,寶徠,,,營建開發 / 豪宅案場 / 代銷轉型,土地開發、高品質建材應用、營建成本控制
1806,冠軍,,,建築陶瓷 / 磁磚 / 拋光石英磚,大尺寸薄板技術、吸水率控制 (瓷質/陶質)、防滑規格
1808,潤隆,,,營建開發 / 工程統包 / 潤泰集團,預鑄工法、建案完工入帳進度、營建廢棄物處理
1809,中釉,,,釉料製造 / 螢光粉 / 數位噴墨,陶瓷釉料配方、LED 螢光材料、奈米級噴墨墨水
1810,和成,,,衛浴陶瓷 / 防彈陶瓷 / 碳纖維複材,高壓成型技術、碳化硼 (B4C) 防彈板、精密陶瓷加工
1817,凱撒衛,,,衛浴設備 / 燒製技術 / FFC 精瓷,高溫燒結、一體成型 (FFC) 技術、越南生產中心
1903,士紙,,,資產活化 / 濕紙巾 / 土地開發,士林廠開發計畫、資產重估、民生紙品加工
1904,正隆,台灣工業用紙與紙器龍頭,台灣最大工紙廠，亞洲廢紙回收再製排位領先。,工業用紙 / 芯紙 / 瓦楞紙箱,廢紙回收再生製程 (循環經濟)、碳標籤認證、工紙報價
1905,華紙,,,漿紙一條龍 / 短纖漿 / 非塑材料,紙漿漂白技術、特殊文化用紙、碳匯 (森林資產)
1906,寶隆,,,紙品貿易 / 倉儲物流 / 雲林土地,工紙出口貿易調度、代理商角色、資產投資收益
1907,永豐餘,台灣紙業與生技控股龍頭,台灣最大文化用紙商，全球電子紙龍頭元太 (8069) 之母公司。,紙業投控 / 生物燃料 / 智能包裝,厭氧發酵產能 (綠能)、RFID 標籤、材料科學研發
1909,榮成,兩岸工紙排位前三,低碳造紙技術領先，中國與台灣工業用紙核心供應商。,工業用紙 (回收導向) / 芯紙,兩岸回收紙製程、中國產能利用率、碳中和布局
2002,中鋼,台灣鋼鐵產業龍頭,台灣最大粗鋼生產商，離岸風電與電動車鋼材核心。,高爐煉鐵 / 熱軋/冷軋 / 特殊鋼,轉爐煉鋼、取向矽鋼片 (EV馬達)、中下游盤價調整
2006,東和鋼鐵,台灣電爐鋼材與 H 型鋼龍頭,台灣最大 H 型鋼供應商，營建鋼材排位第一。,電爐煉鋼 / H型鋼 / 鋼筋,廢鋼電弧爐製程、鋼筋加工配送、H型鋼規格
2007,燁興,,,不鏽鋼線材 / 碳鋼線材 / 冷軋,線材加工、不鏽鋼盤元報價、燁聯集團供應鏈
2008,高興昌,,,API 油氣管 / 鋼管 / 冷軋鋼片,螺旋鋼管焊接、API 認證、高雄土地活化
2009,第一銅,,,黃銅片 / 磷青銅 / 銅合金,銅板帶軋延技術、高導電銅合金、LME 銅價利差
2010,春源,,,鋼板剪裁加工 / 矽鋼片 / 特殊鋼,冷軋/熱軋鋼捲分條、變壓器用矽鋼片、營造用鋼構
2012,春雨,全球最大建築扣件集團之一,台灣扣件外銷先驅，碳鋼螺絲與線材排位領先。,線材加工 / 建築扣件 / 高張力螺帽,球化退火線材、自鑽螺絲技術、全球分銷通路
2013,中鋼構,台灣鋼結構工程龍頭,台灣高樓與大跨距廠房 (含半導體廠) 鋼構市佔第一。,鋼結構工程 / 高樓/廠房構件,大型鋼構銲接技術、台積電建廠需求、離岸風電水下基礎
2014,中鴻,台灣熱軋與冷軋鋼捲前二,中鋼集團核心成員，台灣二級鋼捲供應龍頭。,熱軋鋼捲 / 冷軋鋼捲 / 鍍鋅鋼捲,扁鋼胚採購利差、單機軋延效率、內外銷盤價連動
2015,豐興,台灣條鋼與型鋼龍頭,台灣最具獲利能力之電爐廠，鋼筋與角鋼排位領先。,電爐煉鋼 / 型鋼 / 鋼筋 / 圓鋼,廢鋼電弧爐製程、型鋼規格 (等邊/不等邊)、鋼筋加工
2017,官田鋼,,,線材 / 盤元 / 螺絲加工,盤元自給率、酸洗/抽線製程、螺絲加工產能
2020,美亞,,,鋼管製造 / 鍍鋅鋼管 / 結構管,ERW 高頻焊管、鍍鋅厚度規格、營建與配管應用
2022,聚亨,,,線材加工 / 泰國廠 / 螺絲螺帽,泰國電爐一條龍、球化線材、緊固件出口報價
2023,燁輝,亞洲最大全製程鍍烤鋼捲廠,鍍鋅、彩塗鋼捲產能亞洲第一，太陽能支架規格領先。,鍍鋅鋼捲 / 烤漆鋼捲 / 太陽能支架,高耐腐蝕鍍面技術、冷軋/鍍鋅一體化、兩岸建材外銷
2024,志聯,,,精密磨棒 / 冷抽鋼線 / 線材,快削鋼加工精度、冷抽製程表面粗糙度、機械零件原料
2025,千興,,,不鏽鋼冷軋 / 200/300 系不鏽鋼,不鏽鋼冷軋精整、鎳價避險與利差、不鏽鋼薄片規格
2027,大成鋼,全球工業用不鏽鋼通路龍頭,美國市佔第一，擁有全球最強的不鏽鋼與鋁材定價權。,冷熱軋鋼捲分條 / 建材加工,鋼捲精密剪裁、物流配送效率、南部鋼鐵流通市佔
2028,威致,,,電爐煉鋼 / 鋼筋 / 螺紋鋼,廢鋼回收煉製、鋼筋強度等級、南部建案供需
2029,盛餘,,,鍍鋅鋼捲 / 烤漆鋼捲 / 氟碳鋼板,鍍鋁鋅技術、高級烤漆塗佈、建材美學規格
2030,彰源,台灣不鏽鋼管龍頭 / 全球前五,不鏽鋼管產能全球前五，石化與半導體管材規格領先。,不鏽鋼管 / 不鏽鋼板 / 工業用管,大口徑不鏽鋼管焊接、全球通路布局、鎳價連動
2031,新光鋼,,,不鏽鋼加工 / 剪裁與表面處理,不鏽鋼板剪切、髮絲/鏡面處理、客製化尺寸加工
2032,新鋼,,,鋼板剪裁 / 太陽能支架 / 風電水下,大型鋼板通路、綠能基礎設施、鋼材庫存與盤價管理
2033,佳大,,,鋼纜 / 線材加工 / 預力鋼絞線,鋼纜索捻製技術、橋樑/電梯鋼索規格、營建專案
2034,允強,全球不鏽鋼管與板材前五,僅次於大成鋼之全球主要通路與加工商，排位極前。,不鏽鋼管 / 不鏽鋼板 / 土耳其廠,規模化不鏽鋼加工、海外基地布局、全系列尺寸規格
2038,海光,,,電爐煉鋼 / 鋼筋 / 廢鋼收購,廢鋼處理效率、南部鋼筋報價、產線自動化程度
2049,上銀,全球傳動元件前三,線性滑軌與滾珠螺桿全球前三，僅次於日本 THK。,滾珠螺桿 / 線性導軌 / 工業機器人,C 級精密加工、精密傳動與控制技術、半導體/工具機應用
2059,川湖,全球高階伺服器導軌龍頭,全球市佔第一，擁有 AI 伺服器滑軌絕對定價權。,導軌 / 鋼製滑軌 / 伺服器導軌,高荷重鋼材冷軋成型、專利機構設計、伺服器規格整合
2062,橋椿,全球高階水龍頭零件 ODM 龍頭,鋅合金與銅製龍頭零件全球市佔第一。,鋅壓鑄 / 銅加工 / 衛浴零件,鋅合金精密壓鑄、表面拋光與電鍍技術、高階龍頭組件
2069,運錩,,,不鏽鋼冷軋 / 精密薄片 / 中國產能,超薄不鏽鋼帶 (0.05mm級)、精密冷軋技術、寧波產能
2101,南港,,,轎車胎 / 性能胎 / 世界明珠案,合成橡膠配方、輪胎模具開發、土地開發 (南港案)
2102,泰豐,,,轎車胎 / UHP 胎 / 土地資產,超高性能胎 (UHP) 研發、中壢廠土地活化、品牌代理
2103,台橡,全球合成橡膠領導廠 / 亞洲前三,全球最大 SBR/BR 生產商之一，熱塑性彈性體技術領先。,合成橡膠 (SBR/BR) / 熱塑性彈性體 (TPE),苯乙烯/丁二烯反應控制、SIS/SBS 配方、特種規格 TPE
2104,國際中橡,,,碳黑 (Carbon Black) / 電池負極材料,爐法碳黑、高性能輪胎補強劑、鋰電池負極包覆技術
2105,正新,台灣輪胎龍頭 / 全球前十,Maxxis 品牌價值全球排位領先、自行車胎全球排位極前。,全系列輪胎 (Maxxis) / 輻射層胎 / 研發,膠料配方研發、兩岸與東南亞產能、全球 OE 供應鏈
2106,建大,,,自行車/機車胎 / 轎車胎 / 全球產能,簾布層設計、越南與印尼二輪胎產能、越野胎規格
2107,厚生,,,橡膠/塑膠皮布加工 / 資產開發,膠布貼合技術、醫療級氣墊材料、板橋土地開發效益
2108,南帝,全球 NBR 乳膠龍頭,醫療手套用丁?乳膠產能與技術全球第一。,合成乳膠 (NBR) / 耐油膠 / 手套原料,丁?橡膠乳化製程、拋棄式醫用手套原料、丁二烯報價
2109,華豐,,,機車胎 / 工業用胎 / 內胎生產,丁基橡膠製程、東南亞機車胎市佔、代工與自有品牌
2114,鑫永銓,,,橡膠傳動帶 / 輸送帶 / 同步帶,耐高溫/耐油橡膠配方、工業 4.0 傳動組件、織物加強層
2115,六暉-KY,全球氣門嘴龍頭,全球市佔第一，全球每三顆輪胎氣門嘴就有一顆是六暉。,輪胎氣門嘴 (全球龍頭) / 傳感器組件,精密銅/鋁加工、TPMS (胎壓偵測) 氣門嘴、自動化組裝
2201,裕隆,台灣汽車製造龍頭,台灣最大汽車代工廠，掌握 Luxgen 與電動車平台排位。,汽車整車製造 / 電動車平台 (n7) / 資產,納智捷品牌、裕隆城租賃收益、鴻華先進 (鴻海合資) 研發
2204,中華,,,商用車製造 (CMC) / MG 代理組裝 / EV,輕型商用車底盤、MG 品牌在地化生產、電動商用車技術
2206,三陽工業,台灣機車龍頭 / 汽車銷售前三,SYM 機車市佔全台第一，Hyundai 汽車代工。,機車製造 / 汽車代理 (Hyundai) / 土地,二輪引擎技術 (SYM)、四輪產能稼動率、內湖資產開發
2207,和泰車,台灣汽車銷售龍頭,蟬聯台灣新車市佔率第一超過 20 年 (Toyota/Lexus)。,汽車銷售 (Toyota/Lexus) / 租賃金融,全台銷售與後勤網絡、和潤 (租賃)、MaaS 移動服務
2208,台船,,,商用造船 / 離岸風電水下基礎 / 軍艦,鋼構銲接技術、大型船塢能力、國艦國造專案進度
2211,長榮鋼,,,鋼結構工程 / 離岸風電水下基礎 / 環保,超大型鋼構銲接、風電轉接段 (TP)、廢棄物處理收益
2227,裕日車,,,汽車代銷 (Nissan/Infiniti) / 轉投資大陸,中國東風日產投資收益、特定車型在地化配方
2228,劍麟,,,安全避震組件 / 安全氣囊點火器 / 散熱,精密金屬管加工、點火器殼體規格、EV 散熱模組組件
2231,為升,,,TPMS 胎壓偵測 / 毫米波雷達 / ADAS,毫米波演算法、77GHz 雷達技術、車聯網傳感器規格
2233,宇隆,,,精密加工 (噴油嘴) / 醫療器材 / 自行車,瑞士型自動車床加工、燃油噴射系統規格、高階傳動件
2236,百達-KY,,,精密沖壓 / 汽車門鎖組件 / 機器人,厚料精沖技術 (Fine Blanking)、模具設計、醫療機械臂
2239,英利-KY,,,車身結構件 / 輕量化材料 / 複合材料,熱沖壓技術 (Hot Stamping)、SYMALITE 特種板、Volvo/VW 供應
2241,艾姆勒,,,EV 散熱模組 / 逆變器散熱 / 噴鍛加工,銅/鋁合金散熱片製程、金屬射出成型 (MIM)、EV 功率元件
2243,宏旭-KY,,,汽車覆蓋件模具 / 結構件模具 / 自動化,大型沖壓模具設計、CAE 模擬分析、中國合資車廠供應
2247,汎德永業,,,高階車代銷 (BMW/Porsche) / 維修保養,豪華車市佔率、PDI 整備中心、高端客群維護體系
2248,華勝-KY,,,車用氛圍燈 / 內裝飾件 / LED 模組,光源導光技術、射出成型與電鍍、高端品牌 OE 訂單
2250,IKKA-KY,,,精密塑膠齒輪 / 汽車電控組件 / 機器人,高機能樹脂、精密模具開發、EPB 煞車系統齒輪
2254,巨鎧精密-創,,,車用燈具 (改裝市場) / 全 LED 模組,創新光學設計、3D 立體配光技術、高階改裝認證 (SAE/DOT)
2258,鴻華先進-創,,,電動車開放平台 (MIH) / 整車開發,CDPT 模組化底盤、EEA 電子電氣架構、n7 平台量產
2301,光寶科,全球交換式電源供應器前二,AI 伺服器電源與光電半導體全球排位領先。,AI 伺服器電源 (PSU) / 光電耦合器,鈦金級高功率轉換、液冷散熱整合、LED 封裝技術
2302,麗正,,,整流二極體 / 功率半導體 / 晶圓代工,蕭特基二極體 (Schottky)、GPP 晶圓製程、FRD 規格
2303,聯電,全球晶圓代工前三,成熟製程與特殊工藝 (HV/Power) 全球領先者。,成熟製程代工 (28/22nm) / 特殊工藝,HV (高壓) / RF (射頻) 製程、OLED 驅動 IC、12 吋產能
2305,全友,,,光學影像掃描 / 醫療影像 / 生物檢測,精密光學引擎、高解析度 CCD 技術、專業數位化規格
2308,台達電,全球電源管理龍頭,全球市佔第一，AI 伺服器電源與工業自動化規格制訂者。,電源管理 (EV/AI) / 自動化 / 儲能系統,直流變頻技術、SiC/GaN 功率元件應用、工業 4.0 軟硬整合
2312,金寶,,,EMS 網通電子代工 / 3D 列印 / 低軌衛星,SMT 自動化產線、儲存設備 (SSD/HDD) 組裝、星鏈終端
2313,華通,全球 HDI 板龍頭,高密度連接板產能全球第一，衛星通訊與高階手機板首選。,HDI 載板 (高階) / 軟硬板 / 衛星板,Any-layer HDI 技術、低軌衛星 PCB 規格、類載板 (SLP)
2314,台揚,,,微波通訊 / 衛星通訊 (LNB) / 基站,高頻微波技術、低軌衛星用戶終端、O-RAN 分散式單元
2316,楠梓電,,,PCB 多層板 / 基礎建設 / 工業控制,通訊設備高層板、鑽孔精度控制、轉投資滬士電收益
2317,鴻海,全球電子代工與 AI 伺服器龍頭,全球市佔第一，GB200 機櫃與手機代工絕對霸主。,3+3 戰略投控 / AI 伺服器 / EMS 龍頭,全球供應鏈垂直整合、AI 伺服器機櫃 (GB200) 組裝、EV 委託開發
2321,東訊,,,網通設備 / 智慧電力管理 / 5G 小基站,終端接入技術、電力能源監控系統、VoIP 通訊協議
2323,中環,,,光碟片製造 / 儲存媒體 / 觀光文創,藍光光碟 (BD) 技術、Archive Disc 儲存規格、資產價值
2324,仁寶,,,NB/Tablet 代工 / 伺服器 / 醫療電子,散熱設計模組、NB 外殼沖壓技術、伺服器主板組裝
2327,國巨*,全球被動元件前三,晶片電阻 (Chip-R) 全球第一、鉭質電容全球第一。,MLCC 被動元件 / 電感 / 陶瓷材料,高壓/高容被動元件、LTCC 低溫共燒、全球分銷通路
2328,廣宇,,,線束連接 / PCB 組裝 / 車用電子線材,高速傳輸線材規格、車用配線組 (EV Wire Harness)
2329,華泰,,,IC 封裝測試 / 電子代工 (EMS),快閃記憶體 (NAND) 封裝、AI 伺服器主板組裝 SMT
2330,台積電,全球晶圓代工絕對龍頭,全球市佔第一，壟斷 2nm/CoWoS 先進製程。,先進製程代工 (3nm/2nm) / CoWoS,EUV 微影技術、3D 封裝 (InFO/CoWoS)、晶圓級測試
2331,精英,,,主機板製造 / 迷你電腦 / 車載資通,PCB 設計與佈局、充電樁系統整合、雲端運算終端
2332,友訊,,,網通設備 (D-Link) / 無線路由器,WiFi 7 技術規格、雲端管理平台、交換機架構
2337,旺宏,全球 ROM 龍頭 / 全球 NOR Flash 前三,唯讀記憶體全球市佔第一，車用 NOR Flash 排位極前。,NOR Flash / ROM / 記憶體測試,45nm/19nm 製程、車用與醫療級記憶體、3D NAND 研發
2338,光罩,,,光罩 (Photomask) 製作 / 封裝測試,12 吋/8 吋光罩蝕刻、成熟製程節點優化、轉投資收益
2340,台亞,,,感測半導體 / 化合物半導體 (GaN),紅外線/感測元件、氮化鎵 (GaN) 製程、車用感測規格
2342,茂矽,,,晶圓代工 (6吋) / 分離式元件 / IGBT,功率金氧半場效電晶體 (MOSFET)、車用 SiC 研發
2344,華邦電,全球利基型 DRAM 與 NOR Flash 前三,低功耗記憶體技術領先，車用與工控記憶體核心廠。,DRAM / NOR Flash / 安全快閃記憶體,自有製程技術、低功耗 LPDDR 規格、物聯網安全架構
2345,智邦,全球白牌交換器龍頭,400G/800G 高階交換器全球市佔第一。,高階交換機 (Switch) / 白牌網通,400G/800G 交換機、光學共封裝 (CPO)、NOS 軟硬整合
2347,聯強,亞洲最大高科技通路商,全球前三、亞洲第一之資通訊與元件代理排位。,電子通路 / 供應鏈管理 / 運籌服務,全球物流管理系統、數位通路平台、代理產品線廣度
2348,海悅,,,房產代銷 / 土地開發 / 營建投資,大數據購屋分析、案場代銷率、轉投資建案進度
2349,錸德,,,光碟片 / 儲存媒體 / 綠能資產,BDXL 高容量光碟、太陽能電廠營運、資產活化
2351,順德,全球功率導線架龍頭,高功率與車用導線架技術與市佔全球第一。,功率導線架 (Leadframe) / 精密沖壓,高散熱導線架、車用電力模組 (IGBT/SiC) 封裝材
2352,佳世達,,,DMS 投控 / 醫療電子 / 顯示器代工,智能醫療解決方案、顯示器模組整合、明基 (BenQ) 品牌
2353,宏碁,全球電腦品牌前五 / 台灣前二,筆電品牌排位領先，具備邊緣 AI 終端定義權。,PC 品牌 / AI PC / 電子投控,系統軟體整合、輕量化筆電結構、子公司孵化 (小金虎)
2354,鴻準,全球散熱模組與機殼龍頭級廠商,蘋果鏈機殼與遊戲機代工核心，排位極前。,機殼沖壓 / 散熱模組 / 機器人組裝,鋁鎂合金壓鑄、鈦合金加工、AI 伺服器散熱與組裝
2355,敬鵬,全球汽車 PCB 龍頭,傳統汽車電路板市佔率全球第一。,汽車 PCB / 多層硬板 / 厚銅板,車用電子可靠度認證、大電流厚銅製程、全球市佔率
2356,英業達,,,伺服器代工 (L10) / NB / AI 運算,伺服器主板設計、AI 加速卡整合、越南與墨西哥產能
2357,華碩,台灣主機板與 AI PC 龍頭,主機板全球市佔第一，AI 筆電規格領先者。,主機板 (MB) / 顯示卡 / AI 伺服器,高頻電路佈局、ROG 品牌溢價、AI 伺服器自研架構
2359,所羅門,,,AI 視覺 / 機器人應用 / 電力系統,3D 視覺感測、AI 影像辨識演算法、工控元件代理
2360,致茂,全球半導體與量測設備領導廠,AI 伺服器電力測試與半導體 SLT 測試排位全球前二。,自動測試設備 (ATE) / 電力電子測試,鋰電池與 EV 測試系統、半導體 SoC 測試、光子測試
2362,藍天,,,NB 代工 / 百腦匯 (通路) / 辦公開發,客製化筆電設計、中國 IT 通路租賃、台北雙子星案
2363,矽統,,,IC 設計 / 觸控控制 / 聯電體系,微控制器 (MCU)、觸控 IC、轉投資聯電股利收益
2364,倫飛,,,強固型電腦 / 國防工業 / 移動工作站,防塵防水抗震規格 (MIL-STD)、高亮度顯示技術
2365,昆盈,,,電腦週邊 / 影像輸入 / 自有品牌,紅外線感應技術、自動化產線、中南美洲通路力
2367,燿華,全球低軌衛星板前三,SpaceX (Starlink) 核心供應商，高階任意層 (Anyayer) 技術領先。,HDI 載板 / 軟硬結合板 / 衛星板,高階 HDI 製程、低軌衛星應用、汽車雷達板規格
2368,金像電,全球高階伺服器 PCB 龍頭,全球市佔第一，AI 伺服器 (ASIC/GPU) 厚板排位絕對領先。,雲端伺服器 PCB / 高層數板 (Backplane),30 層以上高頻板、低損耗材料應用、AI 伺服器主板
2369,菱生,,,封裝測試 (OSAT) / 功率與感測器,MEMS 封裝技術、電源管理 IC 封裝、NOR Flash 測試
2371,大同,台灣電力變壓器與重電龍頭,台灣特高壓變壓器與智慧電表市佔第一，具備電力國家隊排位。,重電設備 / 電力統包 / 土地資產,智慧電網、變壓器與馬達、大同莊園等資產開發
2373,震旦行,台灣 OA 辦公設備與 3D 打印龍頭,台灣與大陸商用事務機租賃與服務排位領先。,辦公室自動化 (OA) / 3D 列印 / 租賃,複印機租賃體系、家具通路、雲端辦公系統整合
2374,佳能,,,影像模組 (CIS) / AI 鏡頭 / 邊緣運算,光學變焦機構、AI 影像辨識、智慧移動感測器
2375,凱美,,,鋁質電解電容 / 電阻 / 風扇,高壓電解液配方、被動元件分銷、國巨體系協同
2376,技嘉,全球 AI 伺服器與顯卡龍頭級廠商,AI 伺服器 (L10) 整合能力全球前三，電競顯卡品牌排位極前。,顯示卡 / AI 伺服器 (Giga Computing),GPU 液冷技術、伺服器管理軟體、高效能散熱設計
2377,微星,全球電競筆電與主機板前三,電競筆電品牌市佔率全球領先，AI PC 規格制訂者。,電競筆電 / 主機板 / 車載資通,電競品牌力、高效能筆電熱管設計、充電樁開發
2379,瑞昱,全球網通 IC 領導廠,Wi-Fi 晶片與乙太網路晶片全球排位前三。,網通 SoC / 音訊編解碼 / Wi-Fi 7,乙太網路 PHY 晶片、低功耗 Wi-Fi 晶片、ALC 音訊規格
2380,虹光,,,影像感測器 (CIS) / 掃描器模組,自動化文件饋送 (ADF) 技術、接觸式影像感測 (CIS)
2382,廣達,全球筆電與 AI 伺服器龍頭,全球最大筆電代工廠，美系 CSP 核心供應商。,AI 伺服器 (L11) / NB 代工 / 車載電腦,GB200 全機櫃冷卻技術、系統整合設計、特斯拉電腦 (ECU)
2383,台光電,全球 AI 伺服器 CCL 龍頭,無鹵素基板全球第一，AI 伺服器主板基材市佔最高。Q級/K級 CCL 規格制訂者。Nvidia AI 伺服器主板全球市佔第一,銅箔基板 (CCL) / 無鹵素材料 / 高頻,AI 伺服器 OAM/UBB 專用板材、低損耗 (Very Low Loss) 規格
2385,群光,全球鍵盤與影像模組龍頭,鍵盤、筆電鏡頭模組、電源適配器全球市佔第一。,電腦輸入裝置 / 電源供應器 / 影像模組,背光鍵盤技術、高效能氮化鎵 (GaN) 適配器、IoT 鏡頭
2387,精元,全球筆電鍵盤代工龍頭,全球市佔第一，筆電剪刀腳鍵盤排位無人能及。,NB 鍵盤 / 觸控板 / 塑膠射出,剪刀腳機構技術、自動化組裝、筆電關鍵零組件市佔
2388,威盛,,,處理器平台 / AI 視覺邊緣運算 / IP,x86 架構技術、車隊管理 AI 系統、特定應用 IC (ASIC)，Q級/K級 CCL 規格制訂者。Nvidia AI 伺服器主板全球市佔第一。
2390,云辰,,,安控系統 / 無線警報 / 智能家居,數位訊號處理 (DSP) 監控、紅外線感測、保全系統整合
2392,正崴,,,連接器 / 線纜組合 / 電池模組,高速傳輸連接器 (Type-C)、低軌衛星線材、森崴綠能投資
2393,億光,台灣 LED 封裝龍頭 / 全球不可見光前三,光耦合器 (Optocoupler) 全球市佔與技術排位領先。,LED 封裝 / 光耦 (Opto) / 車用照明,車用矩陣式 LED、光電耦合器 (隔離技術)、紅外線感測
2395,研華,全球工業電腦 (IPC) 龍頭,全球市佔第一，邊緣運算與工業 4.0 規格制定者。,工業電腦 (IPC) / 邊緣運算 / 嵌入式,模組化電腦 (COM)、智慧工廠軟硬整合、各類 I/O 介面規格
2397,友通,,,工業電腦 / 嵌入式主板 / 交通自動化,高穩定度工控主板、特殊環境耐受規格、佳世達體系
2399,映泰,,,主機板 / 顯示卡 / 工控應用,加密貨幣挖礦板設計、嵌入式系統、AMD/Intel 平台佈局
2401,凌陽,,,多媒體 SoC / 車用資訊娛樂 / 12奈米,影像處理 IP、智慧駕駛座艙晶片、轉投資子公司群 (凌通)
2402,毅嘉,,,軟板 (FPC) / 機構件 / 車用按鍵,車用儀表軟板、精密模具加工、多層軟板技術
2404,漢唐,台灣半導體無塵室工程龍頭,台積電最核心建廠夥伴，高階無塵室市佔全台第一。,半導體潔淨室 / 統包工程 (EPC),Class 1 等級無塵室、自動化搬運系統 (AMHS) 整合
2405,輔信,,,迷你電腦 (Shuttle) / 醫療科技 / AI,散熱導管技術 (Heat Pipe)、醫學檢測儀器、嵌入式系統
2406,國碩,,,太陽能矽晶圓 / 導電漿 / 能源投資,多晶/單晶切片、銀漿配方、太陽能案場 EPC
2408,南亞科,台灣 DRAM 產業龍頭,全球第四大 DRAM 廠，台灣自主研發記憶體排位第一。,DRAM 製造 / 先進製程 (1B) / HBM,自主研發 1B 奈米製程、DDR4/DDR5 規格、記憶體週期
2409,友達,全球車載顯示面板前二,全球車用顯示與高階 IT 面板技術領先者。,薄膜電晶體面板 (TFT) / Micro LED,LTPO/Oxide 技術、車用大型曲面顯示、智慧座艙模組
2412,中華電,台灣電信與寬頻絕對龍頭,台灣最大電信業者，資安、數據中心 (IDC) 排位全台第一。,電信基礎建設 / 5G 頻譜 / 雲端 IDC,海纜與光纖骨幹、5G 毫米波、資安與政府專案
2413,環科,,,高頻變壓器 / 雷達感測 / 電源模組,77GHz 毫米波雷達、超音波感測、醫療級電源規格
2414,精技,,,電子通路 / 物流管理 / 系統整合,自動識別技術 (AIDC)、物流軟體、IT 產品代理發行
2415,錩新,,,揚聲器導磁元件 / 塑膠射出 / 鍛造,精密冷鍛技術、車用喇叭框架、專業音響零件
2417,圓剛,,,影音串流設備 / 擷取卡 / AI 邊緣,高解析度影音處理、NVIDIA Jetson 平台整合、視訊設備
2419,仲琦,,,纜線數據機 (Cable Modem) / 網通代工,DOCSIS 3.1/4.0 規格、Wi-Fi 7 閘道器、明泰體系
2420,新巨,,,微動開關 / 工裝電源 / 高可靠性電源,長壽命開關技術、冗餘電源 (Redundant Power) 規格
2421,建準,全球高階散熱風扇前三,AI 伺服器與通訊設備高壓風扇技術全球領先。,散熱風扇 / 鼓風機 / 散熱模組 (AI),磁浮馬達 (MagLev) 技術、薄型風扇、AI 伺服器水冷組件
2423,固緯,,,電子量測儀器 / 示波器 / 頻譜分析儀,數位訊號處理、精密量測校準、電源測試解決方案
2424,隴華,,,衛星通訊服務 / 寬頻網路 / 多媒體,海事衛星通訊整合、V-SAT 頻寬調度、空中聯網技術
2425,承啟,,,顯示卡代工 / 伺服器組裝 / 區塊鏈,GPU 貼片與組裝、AI 算力租賃、七彩虹 (Colorful) 鏈結
2426,鼎元,,,感測元件 / 紅外線 LED / 化合物半導體,矽光敏二極體、VCSEL 封裝、光電感測晶粒規格
2427,三商電,,,金融自動化 (ATM) / 系統整合 / 公共安全,點鈔與辨識技術、政府專案整合、維修體系覆蓋
2428,興勤,全球壓敏/熱敏電阻龍頭,全球市佔第一，保護元組件在車用與工控排位最高。,過電流保護元件 / 熱敏電阻 / 壓敏電阻,NTC/PTC 配方技術、車用感溫元件、高壓電湧保護
2429,銘旺科,,,觸控光學面板 / 軍工顯示器 / 強化貼合,光學級貼合技術 (Optical Bonding)、軍規耐衝擊規格、國防自主顯示控制面板
2430,燦坤,,,3C 零售通路 / 家電銷售,連鎖通路物流、售後維修體系、終端市場消費力指標
2431,聯昌,,,電源供應器 (適配器) / 電機驅動控制,高功率密度適配器、線性馬達驅動技術、家電與工控電源模組
2432,倚天酷碁-創,,,智慧微移動 / 穿戴裝置 / 跨界資通訊,電動滑板車電機控制、自行車智慧配件、宏碁體系軟硬整合應用
2433,互盛電,,,辦公自動化 (OA) / 影印機租賃,震旦體系維修服務、智能辦公管理軟體、租賃營收穩定性
2434,統懋,,,整流二極體 / 晶圓製造 / 電源保護,分離式元件製程、蕭特基 (Schottky) 規格、車用整流
2436,偉詮電,全球 USB PD 晶片龍頭,快充協議晶片全球市佔第一，AI 伺服器風扇控制 IC 排位領先。,USB PD 控制 IC / 類比 IC / 電機驅動,高壓快速充電協定、馬達控制演算法、筆電電源整合
2438,翔耀,,,玻璃基板薄化加工 / 光學面板減薄,精密化學蝕刻製程、彩色濾光片基板薄化 (0.1mm級)、半導體級薄化技術
2439,美律,全球電聲元件領導廠,高階耳機代工與電聲元件排位全球前三。,電聲元件 / 耳機代工 / 揚聲器,聲學模擬技術、主動降噪 (ANC) 控制、醫療級助聽器
2440,太空梭,,,絞銅線製造 / 3C 連接線材 / 銅材加工,高純度無氧銅抽絲、多芯絞線技術、3C 產品內部傳輸線規格
